OBJECTID,geoid,county_fip,tract,tot_pop_po,tot_pop_ci,tot_pop_ov,tot_hh,tot_fam,pop_over75,pop_poc,pop_spfam,pop_lep,pop_below2,pop_disabi,pop_hus_re,pop_zvhhs,pct_over75,pct_poc,pct_spfam,pct_lep,pct_below2,pct_disab,pct_hus_re,pct_zvhhs,poc_halfsd,spfam_half,lep_halfsd,below200_h,disab_half,hus_re_hal,zvhh_halfs,epc_class,epc_flag,Shape__Area,Shape__Length
1378,06085512310,85,512310,4222,4222,3943,1447,1060,99,3018,241,329,1639,305,359,89,0.0234485995024443,0.714827001094818,0.227357998490334,0.0834389999508858,0.388204991817474,0.0722405984997749,0.248099997639656,0.061506599187851,1,1,0,1,0,,0,High,1,0.000331492194163729,0.15526157683981
1379,06085511705,85,511705,1007,1007,1053,357,283,144,463,22,46,48,68,11,0,0.129380002617836,0.415993005037308,0.0777385011315346,0.0436846986413002,0.0476663000881672,0.0675273016095161,0.0308123007416725,0,0,0,0,0,0,,0,NA,0,9.50335561356042E-08,0.015780462542808
1380,06085511705,85,511705,1007,1007,1053,357,283,144,463,22,46,48,68,11,0,0.129380002617836,0.415993005037308,0.0777385011315346,0.0436846986413002,0.0476663000881672,0.0675273016095161,0.0308123007416725,0,0,0,0,0,0,,0,NA,0,2.07678567676339E-08,0.0048726308466146
1381,06085511705,85,511705,1007,1007,1053,357,283,144,463,22,46,48,68,11,0,0.129380002617836,0.415993005037308,0.0777385011315346,0.0436846986413002,0.0476663000881672,0.0675273016095161,0.0308123007416725,0,0,0,0,0,0,,0,NA,0,3.18323145620525E-12,8.40948452818958E-05
1382,06085503331,85,503331,3492,3492,3337,1360,893,481,2216,0,190,328,505,85,100,0.13774299621582,0.63459300994873,0,0.056937400251627,0.0939290001988411,0.144615992903709,0.0625,0.0735293999314308,0,0,0,0,1,,0,NA,0,0.000137739318688546,0.0633906431428469
1383,06001450101,1,450101,4752,4781,4481,1860,1314,71,3337,233,273,451,177,229,73,0.0148504003882408,0.697970986366272,0.177321001887321,0.0609239004552364,0.0949074029922485,0.0370214991271496,0.123117998242378,0.0392473004758358,0,0,0,0,0,,0,NA,0,0.000180704229023831,0.0759936202761392
1384,06085511705,85,511705,1007,1007,1053,357,283,144,463,22,46,48,68,11,0,0.129380002617836,0.415993005037308,0.0777385011315346,0.0436846986413002,0.0476663000881672,0.0675273016095161,0.0308123007416725,0,0,0,0,0,0,,0,NA,0,5.24642018717714E-09,0.00175919078832837
1385,06085510600,85,510600,6564,6564,6053,2350,1741,456,3515,173,559,1403,487,110,29,0.0694698020815849,0.535497009754181,0.0993681997060776,0.0923509001731873,0.21374200284481,0.0741925984621048,0.0468084998428822,0.0123404003679752,0,0,0,0,0,,0,NA,0,0.000211440155453602,0.0658334621992934
1386,06085511705,85,511705,1007,1007,1053,357,283,144,463,22,46,48,68,11,0,0.129380002617836,0.415993005037308,0.0777385011315346,0.0436846986413002,0.0476663000881672,0.0675273016095161,0.0308123007416725,0,0,0,0,0,0,,0,NA,0,1.07811501948163E-08,0.00149215963335246
1387,06085511705,85,511705,1007,1007,1053,357,283,144,463,22,46,48,68,11,0,0.129380002617836,0.415993005037308,0.0777385011315346,0.0436846986413002,0.0476663000881672,0.0675273016095161,0.0308123007416725,0,0,0,0,0,0,,0,NA,0,3.18496790896461E-05,0.0333507670305583
1388,06085511705,85,511705,1007,1007,1053,357,283,144,463,22,46,48,68,11,0,0.129380002617836,0.415993005037308,0.0777385011315346,0.0436846986413002,0.0476663000881672,0.0675273016095161,0.0308123007416725,0,0,0,0,0,0,,0,NA,0,3.05822140944656E-08,0.00945591973557538
1389,06085511705,85,511705,1007,1007,1053,357,283,144,463,22,46,48,68,11,0,0.129380002617836,0.415993005037308,0.0777385011315346,0.0436846986413002,0.0476663000881672,0.0675273016095161,0.0308123007416725,0,0,0,0,0,0,,0,NA,0,2.00088834390044E-10,0.000308866210084721
1390,06013371000,13,371000,6130,6149,5686,1965,1382,234,4548,221,994,2107,543,210,192,0.0380549989640713,0.7396320104599,0.159913003444672,0.174814999103546,0.343719005584717,0.0883070006966591,0.106870003044605,0.0977099016308784,1,0,1,1,0,,0,High,1,0.000134958830585674,0.0554049284415662
1391,06085513000,85,513000,4234,8254,7993,2223,411,0,4866,10,26,1919,210,820,690,0,0.589532017707825,0.0243308991193771,0.00325284991413355,0.453236013650894,0.0254421997815371,0.368871003389359,0.310391008853912,0,0,0,1,0,,1,NA,0,0.000280879365618603,0.0762910303332662
1392,06055201200,55,201200,4831,4834,4683,1968,1252,667,1971,85,525,1304,667,72,94,0.137980997562408,0.407736986875534,0.0678913965821266,0.112107999622822,0.269923001527786,0.137980997562408,0.0365854017436504,0.0477642007172108,0,0,0,0,1,,0,NA,0,1.12702246042318E-05,0.0150955506965802
1393,06001430102,1,430102,2224,2224,2135,867,688,210,899,57,82,133,175,10,24,0.0944245010614395,0.404226988554001,0.0828488022089005,0.0384075008332729,0.0598022006452084,0.078686997294426,0.0115339998155832,0.0276817008852959,0,0,0,0,0,,0,NA,0,1.1572055882425E-06,0.011152236906521
1394,06075021700,75,21700,4094,4094,3855,1839,1012,257,1853,116,129,738,324,171,170,0.0627747997641563,0.452614009380341,0.114624999463558,0.0334630012512207,0.180263996124268,0.0791402012109756,0.0929853022098541,0.0924414992332458,0,0,0,0,0,,0,NA,0,0.000125689639389748,0.0708701658905666
1395,06085512053,85,512053,4571,4571,4241,1433,1185,186,2978,164,412,1009,393,124,32,0.0406913012266159,0.651498973369598,0.138396993279457,0.0971468985080719,0.220739006996155,0.0859768018126488,0.0865318030118942,0.0223308000713587,0,0,0,0,0,,0,NA,0,0.000110958901132108,0.0516194624485591
1396,06013320004,13,320004,6562,6562,6135,2542,1735,283,2320,273,206,1279,599,200,43,0.0431271009147167,0.353551000356674,0.15734900534153,0.0335777997970581,0.194910004734993,0.0912830978631973,0.078678198158741,0.016915800049901,0,0,0,0,0,,0,NA,0,6.32371666142717E-09,0.00150143134695561
1397,06075021800,75,21800,4112,4112,3824,1867,1046,179,1124,85,23,304,162,10,210,0.0435311011970043,0.27334600687027,0.0812619030475616,0.00601463997736573,0.0739300027489662,0.0393969006836414,0.00535618979483843,0.112479999661446,0,0,0,0,0,,1,NA,0,5.12050323777657E-05,0.042147451677738
1398,06085504417,85,504417,392,410,354,129,93,28,264,19,54,122,22,0,0,0.0682926997542381,0.643902003765106,0.204300999641418,0.152541995048523,0.311224013566971,0.0536585003137589,0,0,0,1,1,1,0,,0,NA,0,4.48426362709142E-09,0.00185845998900703
